21:52:02,CPU,%user,%nice,%system,%iowait,%steal,%idle
21:52:03,all,18.48,0.00,4.05,0.00,0.00,77.47
21:52:04,all,22.59,0.00,1.78,0.00,0.00,75.63
21:52:05,all,17.72,0.00,2.28,0.00,0.00,80.00
21:52:06,all,25.85,0.00,1.83,0.00,0.00,72.32
21:52:07,all,20.00,0.00,3.04,0.00,0.00,76.96
21:52:08,all,21.28,0.00,2.05,0.00,0.00,76.67
21:52:09,all,25.13,0.00,3.33,0.00,0.00,71.54
21:52:10,all,23.60,0.00,2.79,0.00,0.00,73.60
21:52:11,all,22.90,0.00,3.05,0.00,0.00,74.05
21:52:12,all,27.48,0.00,2.23,0.00,0.00,70.30
21:52:13,all,25.13,0.00,2.79,0.00,0.00,72.08
21:52:14,all,23.20,0.00,2.06,0.00,0.00,74.74
21:52:15,all,25.19,0.00,2.29,0.00,0.00,72.52
21:52:16,all,25.19,0.00,4.94,0.00,0.00,69.88
21:52:17,all,19.60,0.00,5.78,0.00,0.00,74.62
21:52:18,all,24.05,0.00,3.04,0.00,0.00,72.91
21:52:19,all,24.87,0.00,2.82,0.00,0.00,72.31
21:52:20,all,23.85,0.00,1.54,0.00,0.00,74.62
21:52:21,all,25.51,0.00,2.04,0.00,0.00,72.45
21:52:22,all,24.24,0.00,2.02,0.00,0.00,73.74
21:52:23,all,25.82,0.00,2.78,0.00,0.00,71.39
21:52:24,all,25.81,0.00,3.01,0.00,0.00,71.18
21:52:25,all,23.35,0.00,2.03,0.00,0.00,74.62
21:52:26,all,26.02,0.00,3.57,0.00,0.00,70.41
21:52:27,all,24.81,0.00,3.29,0.00,0.00,71.90
21:52:28,all,26.41,0.00,1.03,0.00,0.00,72.56
21:52:29,all,25.63,0.00,1.52,0.00,0.00,72.84
21:52:30,all,25.56,0.00,2.73,0.00,0.00,71.71
21:52:31,all,24.15,0.00,6.10,0.24,0.00,69.51
21:52:32,all,23.69,0.00,2.74,0.00,0.00,73.57
21:52:33,all,27.39,0.00,2.76,0.00,0.00,69.85
21:52:34,all,24.30,0.00,1.79,0.00,0.00,73.91
21:52:35,all,26.88,0.00,4.02,0.00,0.00,69.10
21:52:36,all,25.32,0.00,2.56,0.00,0.00,72.12
21:52:37,all,23.54,0.00,1.77,0.00,0.00,74.68
21:52:38,all,23.21,0.00,1.79,0.00,0.00,75.00
21:52:39,all,23.85,0.00,2.56,0.00,0.00,73.59
21:52:40,all,20.85,0.00,2.76,0.00,0.00,76.38
21:52:41,all,24.62,0.00,1.51,0.00,0.00,73.87
21:52:42,all,26.84,0.00,2.78,0.00,0.00,70.38
21:52:43,all,24.30,0.00,2.53,0.00,0.00,73.16
21:52:44,all,23.04,0.00,1.77,0.00,0.00,75.19
21:52:45,all,23.38,0.00,4.48,0.00,0.00,72.14
21:52:46,all,21.57,0.00,4.82,0.00,0.00,73.60
21:52:47,all,25.91,0.00,1.55,0.00,0.00,72.54
21:52:48,all,26.42,0.00,0.78,0.00,0.00,72.80
21:52:49,all,22.94,0.00,3.61,0.00,0.00,73.45
21:52:50,all,25.97,0.00,0.78,0.00,0.00,73.25
21:52:51,all,25.13,0.00,1.30,0.00,0.00,73.58
21:52:52,all,23.47,0.00,3.57,0.00,0.00,72.96
21:52:53,all,25.00,0.00,2.27,0.00,0.00,72.73
21:52:54,all,24.04,0.00,3.07,0.00,0.00,72.89
21:52:55,all,22.25,0.00,2.81,0.00,0.00,74.94
21:52:56,all,24.42,0.00,2.31,0.00,0.00,73.26
21:52:57,all,25.26,0.00,1.79,0.00,0.00,72.96
21:52:58,all,26.40,0.00,3.05,0.00,0.00,70.56
21:52:59,all,25.71,0.00,2.06,0.00,0.00,72.24
21:53:00,all,23.04,0.00,5.82,0.00,0.00,71.14
21:53:01,all,24.29,0.00,2.33,0.00,0.00,73.39
21:53:02,all,25.71,0.00,2.06,0.00,0.00,72.24
Average:,all,24.20,0.00,2.70,0.00,0.00,73.09
