21:46:48,CPU,%user,%nice,%system,%iowait,%steal,%idle
21:46:49,all,1.75,0.00,1.00,0.00,0.00,97.24
21:46:50,all,1.73,0.00,1.73,0.00,0.00,96.54
21:46:51,all,0.74,0.00,1.97,0.00,0.00,97.30
21:46:52,all,1.24,0.00,0.99,0.00,0.00,97.77
21:46:53,all,0.50,0.00,0.50,0.00,0.00,99.00
21:46:54,all,1.00,0.00,0.25,0.00,0.00,98.75
21:46:55,all,1.77,0.00,1.26,0.00,0.00,96.97
21:46:56,all,1.25,0.00,0.00,0.00,0.00,98.75
21:46:57,all,0.50,0.00,0.99,0.00,0.00,98.51
21:46:58,all,1.75,0.00,0.75,0.00,0.00,97.51
21:46:59,all,0.25,0.00,1.00,0.00,0.00,98.75
21:47:00,all,0.75,0.00,0.25,0.00,0.00,99.00
21:47:01,all,0.99,0.00,0.74,0.25,0.00,98.01
21:47:02,all,0.00,0.00,0.00,0.00,0.00,100.00
21:47:03,all,0.25,0.00,0.75,0.00,0.00,99.00
21:47:04,all,0.50,0.00,0.25,0.00,0.00,99.25
21:47:05,all,0.75,0.00,0.50,0.00,0.00,98.75
21:47:06,all,0.00,0.00,0.00,0.00,0.00,100.00
21:47:07,all,0.00,0.00,0.50,0.00,0.00,99.50
21:47:08,all,1.00,0.00,4.76,0.00,0.00,94.24
21:47:09,all,1.00,0.00,14.54,0.50,0.00,83.96
21:47:10,all,0.74,0.00,1.24,0.00,0.00,98.02
21:47:11,all,0.00,0.00,1.00,0.00,0.00,99.00
21:47:12,all,0.50,0.00,1.00,0.00,0.00,98.50
21:47:13,all,0.75,0.00,0.75,0.00,0.00,98.50
21:47:14,all,0.74,0.00,0.99,0.00,0.00,98.26
21:47:15,all,0.00,0.00,0.50,0.00,0.00,99.50
21:47:16,all,0.25,0.00,0.50,0.00,0.00,99.25
21:47:17,all,0.25,0.00,1.00,0.00,0.00,98.75
21:47:18,all,1.00,0.00,0.25,0.00,0.00,98.75
21:47:19,all,0.75,0.00,0.25,0.00,0.00,99.00
21:47:20,all,0.50,0.00,0.75,0.00,0.00,98.75
21:47:21,all,0.00,0.00,0.50,0.00,0.00,99.50
21:47:22,all,0.00,0.00,1.00,0.00,0.00,99.00
21:47:23,all,0.75,0.00,0.50,0.00,0.00,98.75
21:47:24,all,0.50,0.00,0.25,0.00,0.00,99.25
21:47:25,all,0.25,0.00,0.25,0.00,0.00,99.50
21:47:26,all,0.00,0.00,0.00,0.00,0.00,100.00
21:47:27,all,0.25,0.00,0.75,0.00,0.00,99.00
21:47:28,all,0.75,0.00,0.50,0.00,0.00,98.75
21:47:29,all,0.25,0.00,0.50,0.00,0.00,99.25
21:47:30,all,0.25,0.00,0.25,0.00,0.00,99.50
21:47:31,all,0.50,0.00,0.75,0.00,0.00,98.76
21:47:32,all,0.25,0.00,0.50,0.00,0.00,99.24
21:47:33,all,0.00,0.00,1.00,0.00,0.00,99.00
21:47:34,all,0.00,0.00,0.00,0.00,0.00,100.00
21:47:35,all,0.50,0.00,1.00,0.00,0.00,98.50
21:47:36,all,0.50,0.00,0.25,0.00,0.00,99.25
21:47:37,all,0.25,0.00,0.50,0.00,0.00,99.25
21:47:38,all,0.50,0.00,0.25,0.00,0.00,99.24
21:47:39,all,1.51,0.00,0.76,0.00,0.00,97.73
21:47:40,all,0.00,0.00,0.25,0.00,0.00,99.75
21:47:41,all,0.25,0.00,1.00,0.00,0.00,98.75
21:47:42,all,0.50,0.00,0.25,0.00,0.00,99.25
21:47:43,all,0.00,0.00,1.25,0.00,0.00,98.75
21:47:44,all,0.00,0.00,1.00,0.00,0.00,99.00
21:47:45,all,0.25,0.00,0.50,0.00,0.00,99.25
21:47:46,all,0.50,0.00,0.75,0.00,0.00,98.75
21:47:47,all,0.50,0.00,0.50,0.00,0.00,99.00
21:47:48,all,0.00,0.00,0.75,0.00,0.00,99.25
Average:,all,0.54,0.00,0.95,0.01,0.00,98.50
