Tasks: 189 total,   6 running, 183 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   4 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   3 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   3 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   2 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   5 running, 176 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 178 total,   5 running, 173 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   3 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   2 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   2 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 181 total,   2 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   4 running, 176 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 178 total,   3 running, 175 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   4 running, 176 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 178 total,   2 running, 176 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   2 running, 178 sleeping,   0 stopped,   0 zombie
Tasks: 180 total,   1 running, 179 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   2 running, 167 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   3 running, 166 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   2 running, 167 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   5 running, 164 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   2 running, 167 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   1 running, 168 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   2 running, 167 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   2 running, 167 sleeping,   0 stopped,   0 zombie
Tasks: 169 total,   2 running, 167 sleeping,   0 stopped,   0 zombie
