17:04:08,CPU,%user,%nice,%system,%iowait,%steal,%idle
17:04:09,all,65.23,0.00,14.97,0.00,0.00,19.80
17:04:10,all,63.17,0.00,9.97,0.00,0.00,26.85
17:04:11,all,61.06,0.00,12.81,0.00,0.00,26.13
17:04:12,all,64.14,0.00,12.88,0.00,0.00,22.98
17:04:13,all,63.89,0.00,10.61,0.00,0.00,25.51
17:04:14,all,55.75,0.00,16.88,0.00,0.00,27.37
17:04:15,all,62.25,0.00,16.25,0.00,0.00,21.50
17:04:16,all,63.77,0.00,9.93,0.00,0.00,26.30
17:04:17,all,60.10,0.00,13.55,0.00,0.00,26.34
17:04:18,all,63.94,0.00,11.51,0.00,0.00,24.55
17:04:19,all,67.59,0.00,9.62,0.00,0.00,22.78
17:04:20,all,65.74,0.00,10.58,0.00,0.00,23.68
17:04:21,all,67.92,0.00,10.28,0.00,0.00,21.80
17:04:22,all,60.21,0.00,11.89,0.00,0.00,27.91
17:04:23,all,64.08,0.00,10.08,0.00,0.00,25.84
17:04:24,all,67.69,0.00,6.92,0.00,0.00,25.38
17:04:25,all,63.36,0.00,11.70,0.00,0.00,24.94
17:04:26,all,64.23,0.00,11.59,0.00,0.00,24.18
17:04:27,all,68.16,0.00,9.20,0.00,0.00,22.64
17:04:28,all,62.66,0.00,14.83,0.00,0.00,22.51
17:04:29,all,55.21,0.00,23.24,0.00,0.00,21.55
17:04:30,all,63.52,0.00,10.46,0.00,0.00,26.02
17:04:31,all,66.50,0.00,10.91,0.00,0.00,22.59
17:04:32,all,66.42,0.00,9.77,0.00,0.00,23.81
17:04:33,all,67.00,0.00,11.59,0.00,0.00,21.41
17:04:34,all,65.47,0.00,10.23,0.00,0.00,24.30
17:04:35,all,68.69,0.00,10.35,0.00,0.00,20.96
17:04:36,all,65.39,0.00,11.20,0.00,0.00,23.41
17:04:37,all,63.10,0.00,14.76,0.00,0.00,22.14
17:04:38,all,62.53,0.00,13.15,0.00,0.00,24.32
17:04:39,all,63.32,0.00,12.56,0.00,0.00,24.12
17:04:40,all,65.33,0.00,10.55,0.00,0.00,24.12
17:04:41,all,65.25,0.00,13.50,0.00,0.00,21.25
17:04:42,all,62.78,0.00,14.14,0.00,0.00,23.08
17:04:43,all,58.72,0.00,17.44,0.00,0.00,23.85
17:04:44,all,62.76,0.00,15.05,0.00,0.00,22.19
17:04:45,all,63.89,0.00,11.11,0.00,0.00,25.00
17:04:46,all,66.08,0.00,11.72,0.00,0.00,22.19
17:04:47,all,69.02,0.00,10.33,0.00,0.00,20.65
17:04:48,all,68.84,0.00,9.30,0.00,0.00,21.86
17:04:49,all,64.09,0.00,13.47,0.00,0.00,22.44
17:04:50,all,63.47,0.00,11.14,0.00,0.00,25.39
17:04:51,all,68.48,0.00,8.53,0.00,0.00,23.00
17:04:52,all,64.56,0.00,10.89,0.00,0.00,24.56
17:04:53,all,65.82,0.00,10.89,0.00,0.00,23.29
17:04:54,all,63.33,0.00,11.54,0.00,0.00,25.13
17:04:55,all,62.97,0.00,12.09,0.00,0.00,24.94
17:04:56,all,63.91,0.00,10.28,0.00,0.00,25.81
17:04:57,all,63.48,0.00,18.14,0.00,0.00,18.38
17:04:58,all,58.02,0.00,18.52,0.00,0.00,23.46
17:04:59,all,65.82,0.00,11.22,0.00,0.00,22.96
17:05:00,all,63.16,0.00,14.04,0.00,0.00,22.81
17:05:01,all,66.32,0.00,9.25,0.00,0.00,24.42
17:05:02,all,68.65,0.00,8.29,0.00,0.00,23.06
17:05:03,all,70.75,0.00,11.75,0.00,0.00,17.50
17:05:04,all,63.21,0.00,9.84,0.00,0.00,26.94
17:05:05,all,62.88,0.00,10.86,0.00,0.00,26.26
17:05:06,all,67.77,0.00,8.95,0.00,0.00,23.27
17:05:07,all,65.14,0.00,10.94,0.00,0.00,23.92
17:05:08,all,63.90,0.00,11.43,0.00,0.00,24.68
Average:,all,64.34,0.00,12.01,0.00,0.00,23.65
