17:04:08,CPU,%user,%nice,%system,%iowait,%steal,%idle
17:04:09,0,50.51,0.00,22.22,0.00,0.00,27.27
17:04:10,0,49.48,0.00,13.40,0.00,0.00,37.11
17:04:11,0,72.45,0.00,10.20,0.00,0.00,17.35
17:04:12,0,51.52,0.00,21.21,0.00,0.00,27.27
17:04:13,0,89.00,0.00,10.00,0.00,0.00,1.00
17:04:14,0,64.08,0.00,20.39,0.00,0.00,15.53
17:04:15,0,65.35,0.00,29.70,0.00,0.00,4.95
17:04:16,0,72.82,0.00,16.50,0.00,0.00,10.68
17:04:17,0,78.35,0.00,11.34,0.00,0.00,10.31
17:04:18,0,73.00,0.00,11.00,0.00,0.00,16.00
17:04:19,0,56.44,0.00,11.88,0.00,0.00,31.68
17:04:20,0,51.58,0.00,16.84,0.00,0.00,31.58
17:04:21,0,76.92,0.00,16.35,0.00,0.00,6.73
17:04:22,0,86.87,0.00,9.09,0.00,0.00,4.04
17:04:23,0,71.29,0.00,9.90,0.00,0.00,18.81
17:04:24,0,76.77,0.00,8.08,0.00,0.00,15.15
17:04:25,0,69.31,0.00,13.86,0.00,0.00,16.83
17:04:26,0,76.77,0.00,9.09,0.00,0.00,14.14
17:04:27,0,79.00,0.00,10.00,0.00,0.00,11.00
17:04:28,0,79.00,0.00,14.00,0.00,0.00,7.00
17:04:29,0,49.00,0.00,44.00,0.00,0.00,7.00
17:04:30,0,63.27,0.00,14.29,0.00,0.00,22.45
17:04:31,0,85.00,0.00,11.00,0.00,0.00,4.00
17:04:32,0,89.90,0.00,9.09,0.00,0.00,1.01
17:04:33,0,78.12,0.00,8.33,0.00,0.00,13.54
17:04:34,0,56.52,0.00,14.13,0.00,0.00,29.35
17:04:35,0,48.98,0.00,16.33,0.00,0.00,34.69
17:04:36,0,54.74,0.00,14.74,0.00,0.00,30.53
17:04:37,0,68.37,0.00,14.29,0.00,0.00,17.35
17:04:38,0,80.00,0.00,10.00,0.00,0.00,10.00
17:04:39,0,73.79,0.00,16.50,0.00,0.00,9.71
17:04:40,0,63.27,0.00,15.31,0.00,0.00,21.43
17:04:41,0,78.35,0.00,11.34,0.00,0.00,10.31
17:04:42,0,70.10,0.00,18.56,0.00,0.00,11.34
17:04:43,0,54.55,0.00,33.33,0.00,0.00,12.12
17:04:44,0,65.62,0.00,21.88,0.00,0.00,12.50
17:04:45,0,61.70,0.00,12.77,0.00,0.00,25.53
17:04:46,0,54.00,0.00,21.00,0.00,0.00,25.00
17:04:47,0,77.78,0.00,8.08,0.00,0.00,14.14
17:04:48,0,71.13,0.00,9.28,0.00,0.00,19.59
17:04:49,0,57.43,0.00,17.82,0.00,0.00,24.75
17:04:50,0,67.03,0.00,8.79,0.00,0.00,24.18
17:04:51,0,74.75,0.00,10.10,0.00,0.00,15.15
17:04:52,0,82.47,0.00,9.28,0.00,0.00,8.25
17:04:53,0,70.30,0.00,11.88,0.00,0.00,17.82
17:04:54,0,72.45,0.00,14.29,0.00,0.00,13.27
17:04:55,0,75.26,0.00,11.34,0.00,0.00,13.40
17:04:56,0,59.38,0.00,15.62,0.00,0.00,25.00
17:04:57,0,40.21,0.00,25.77,0.00,0.00,34.02
17:04:58,0,53.47,0.00,36.63,0.00,0.00,9.90
17:04:59,0,60.82,0.00,15.46,0.00,0.00,23.71
17:05:00,0,89.00,0.00,11.00,0.00,0.00,0.00
17:05:01,0,82.83,0.00,8.08,0.00,0.00,9.09
17:05:02,0,79.59,0.00,10.20,0.00,0.00,10.20
17:05:03,0,82.65,0.00,8.16,0.00,0.00,9.18
17:05:04,0,74.23,0.00,8.25,0.00,0.00,17.53
17:05:05,0,76.29,0.00,12.37,0.00,0.00,11.34
17:05:06,0,85.00,0.00,11.00,0.00,0.00,4.00
17:05:07,0,48.96,0.00,21.88,0.00,0.00,29.17
17:05:08,0,71.88,0.00,11.46,0.00,0.00,16.67
Average:,0,69.04,0.00,14.84,0.00,0.00,16.11
