,total,used,free,shared,buff,available
Mem:,3826,427,1729,130,1669,3121
Mem:,3826,429,1727,130,1669,3119
Mem:,3826,429,1726,130,1669,3119
Mem:,3826,430,1725,130,1670,3118
Mem:,3826,431,1724,130,1670,3117
Mem:,3826,431,1724,130,1670,3117
Mem:,3826,431,1724,130,1670,3117
Mem:,3826,431,1724,130,1670,3117
Mem:,3826,431,1724,130,1670,3116
Mem:,3826,432,1723,130,1669,3116
Mem:,3826,432,1724,130,1669,3116
Mem:,3826,432,1724,130,1669,3116
Mem:,3826,432,1724,130,1669,3116
Mem:,3826,432,1724,130,1669,3116
Mem:,3826,431,1724,130,1669,3117
Mem:,3826,432,1724,130,1669,3116
Mem:,3826,432,1723,130,1669,3116
Mem:,3826,432,1724,130,1669,3116
Mem:,3826,432,1724,130,1669,3116
Mem:,3826,432,1724,130,1669,3116
Mem:,3826,432,1723,130,1669,3116
Mem:,3826,432,1723,130,1669,3116
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,433,1723,130,1669,3115
Mem:,3826,433,1723,130,1669,3115
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,434,1722,130,1669,3115
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1722,130,1669,3115
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1721,130,1669,3114
Mem:,3826,434,1722,130,1669,3115
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,434,1722,130,1669,3115
Mem:,3826,434,1722,130,1669,3115
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,433,1722,130,1670,3114
Mem:,3826,434,1721,130,1670,3114
Mem:,3826,434,1721,130,1670,3114
Mem:,3826,434,1721,130,1670,3114
Mem:,3826,434,1721,130,1670,3113
Mem:,3826,435,1720,130,1670,3113
Mem:,3826,434,1721,130,1669,3114
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,434,1722,130,1669,3114
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,433,1722,130,1669,3115
Mem:,3826,434,1721,130,1669,3114
Mem:,3826,434,1721,130,1669,3114
Mem:,3826,426,1730,130,1669,3122
