Tasks: 220 total,   5 running, 215 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   1 running, 219 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   1 running, 219 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   6 running, 214 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   1 running, 219 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   1 running, 219 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   2 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   3 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 220 total,   4 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 185 total,   4 running, 181 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   4 running, 169 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   3 running, 170 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   3 running, 170 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   4 running, 169 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   3 running, 170 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   5 running, 168 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   4 running, 169 sleeping,   0 stopped,   0 zombie
