16:53:41,CPU,%user,%nice,%system,%iowait,%steal,%idle
16:53:42,1,35.11,0.00,10.64,0.00,0.00,54.26
16:53:43,1,18.60,0.00,6.98,0.00,0.00,74.42
16:53:44,1,23.40,0.00,6.38,0.00,0.00,70.21
16:53:45,1,31.82,0.00,6.82,0.00,0.00,61.36
16:53:46,1,26.97,0.00,5.62,0.00,0.00,67.42
16:53:47,1,31.25,2.08,6.25,0.00,0.00,60.42
16:53:48,1,32.22,0.00,4.44,0.00,0.00,63.33
16:53:49,1,31.91,0.00,6.38,0.00,0.00,61.70
16:53:50,1,31.25,0.00,6.25,0.00,0.00,62.50
16:53:51,1,31.91,0.00,8.51,0.00,0.00,59.57
16:53:52,1,34.00,0.00,6.00,0.00,0.00,60.00
16:53:53,1,26.53,0.00,15.31,0.00,0.00,58.16
16:53:54,1,31.52,0.00,7.61,0.00,0.00,60.87
16:53:55,1,30.93,0.00,10.31,0.00,0.00,58.76
16:53:56,1,32.67,0.00,8.91,0.00,0.00,58.42
16:53:57,1,36.45,0.00,6.54,0.00,0.00,57.01
16:53:58,1,28.71,0.00,8.91,0.00,0.00,62.38
16:53:59,1,22.45,0.00,12.24,0.00,0.00,65.31
16:54:00,1,31.63,0.00,8.16,0.00,0.00,60.20
16:54:01,1,22.45,0.00,10.20,0.00,0.00,67.35
16:54:02,1,35.58,0.00,10.58,0.00,0.00,53.85
16:54:03,1,29.59,0.00,9.18,0.00,0.00,61.22
16:54:04,1,19.15,0.00,11.70,0.00,0.00,69.15
16:54:05,1,44.76,0.00,9.52,0.00,0.00,45.71
16:54:06,1,34.02,0.00,4.12,0.00,0.00,61.86
16:54:07,1,28.00,0.00,10.00,0.00,0.00,62.00
16:54:08,1,30.39,0.00,7.84,0.00,0.00,61.76
16:54:09,1,32.65,0.00,5.10,0.00,0.00,62.24
16:54:10,1,27.72,0.00,4.95,0.00,0.00,67.33
16:54:11,1,29.47,0.00,5.26,0.00,0.00,65.26
16:54:12,1,33.96,0.00,5.66,0.00,0.00,60.38
16:54:13,1,33.67,0.00,9.18,0.00,0.00,57.14
16:54:14,1,37.96,0.00,8.33,0.00,0.00,53.70
16:54:15,1,21.65,0.00,9.28,0.00,0.00,69.07
16:54:16,1,41.35,0.00,5.77,0.00,0.00,52.88
16:54:17,1,39.18,0.00,3.09,0.00,0.00,57.73
16:54:18,1,34.95,0.00,6.80,0.00,0.00,58.25
16:54:19,1,33.96,0.00,11.32,0.00,0.00,54.72
16:54:20,1,32.35,0.00,7.84,0.00,0.00,59.80
16:54:21,1,37.50,0.00,3.85,0.00,0.00,58.65
16:54:22,1,31.63,0.00,4.08,0.00,0.00,64.29
16:54:23,1,35.29,0.00,1.96,0.00,0.00,62.75
16:54:24,1,33.00,0.00,5.00,0.00,0.00,62.00
16:54:25,1,34.62,0.00,8.65,0.00,0.00,56.73
16:54:26,1,32.32,0.00,6.06,0.00,0.00,61.62
16:54:27,1,40.20,0.00,3.92,0.00,0.00,55.88
16:54:28,1,20.20,0.00,12.12,0.00,0.00,67.68
16:54:29,1,25.74,0.00,9.90,0.00,0.00,64.36
16:54:30,1,29.81,0.00,12.50,0.00,0.00,57.69
16:54:31,1,28.00,0.00,12.00,0.00,0.00,60.00
16:54:32,1,43.88,0.00,6.12,0.00,0.00,50.00
16:54:33,1,33.02,0.00,11.32,0.00,0.00,55.66
16:54:34,1,29.00,0.00,7.00,0.00,0.00,64.00
16:54:35,1,30.00,0.00,8.00,0.00,0.00,62.00
16:54:36,1,41.41,0.00,9.09,0.00,0.00,49.49
16:54:37,1,25.00,0.00,12.50,0.00,0.00,62.50
16:54:38,1,25.26,0.00,12.63,0.00,0.00,62.11
16:54:39,1,30.00,0.00,8.00,0.00,0.00,62.00
16:54:40,1,41.75,0.00,1.94,0.00,0.00,56.31
16:54:41,1,30.39,0.00,13.73,0.00,0.00,55.88
Average:,1,31.62,0.03,7.99,0.00,0.00,60.36
