17:00:04,CPU,%user,%nice,%system,%iowait,%steal,%idle
17:00:05,all,52.88,0.00,15.14,0.00,0.00,31.97
17:00:06,all,53.69,0.00,11.58,0.00,0.00,34.73
17:00:07,all,52.11,0.00,12.90,0.00,0.00,34.99
17:00:08,all,52.38,0.00,11.03,0.00,0.00,36.59
17:00:09,all,54.04,0.00,9.34,0.00,0.00,36.62
17:00:10,all,53.18,0.00,9.92,0.00,0.00,36.90
17:00:11,all,63.13,0.00,11.36,0.00,0.00,25.51
17:00:12,all,55.53,0.00,11.06,0.00,0.00,33.42
17:00:13,all,56.15,0.00,12.05,0.00,0.00,31.79
17:00:14,all,55.25,0.00,9.75,0.00,0.00,35.00
17:00:15,all,62.87,0.00,10.40,0.00,0.00,26.73
17:00:16,all,53.94,0.00,10.94,0.00,0.00,35.11
17:00:17,all,56.76,0.00,12.04,0.00,0.00,31.20
17:00:18,all,48.60,0.00,12.47,0.00,0.00,38.93
17:00:19,all,46.43,0.00,8.93,0.00,0.00,44.64
17:00:20,all,44.67,0.00,8.38,0.00,0.00,46.95
17:00:21,all,52.88,0.00,7.85,0.00,0.00,39.27
17:00:22,all,48.44,0.00,11.98,0.00,0.00,39.58
17:00:23,all,49.50,0.00,11.39,0.00,0.00,39.11
17:00:24,all,52.74,0.00,7.83,0.00,0.00,39.43
17:00:25,all,54.12,0.00,9.02,0.00,0.00,36.86
17:00:26,all,48.23,0.00,12.37,0.00,0.00,39.39
17:00:27,all,53.16,0.00,10.44,0.00,0.00,36.41
17:00:28,all,47.96,0.00,13.01,0.00,0.00,39.03
17:00:29,all,52.74,0.00,11.69,0.00,0.00,35.57
17:00:30,all,54.87,0.00,10.77,0.00,0.00,34.36
17:00:31,all,49.75,0.00,13.38,0.00,0.00,36.87
17:00:32,all,52.85,0.00,10.36,0.00,0.00,36.79
17:00:33,all,51.52,0.00,10.10,0.00,0.00,38.38
17:00:34,all,52.50,0.00,12.50,0.00,0.00,35.00
17:00:35,all,52.45,0.00,11.63,0.00,0.00,35.92
17:00:36,all,56.00,0.00,10.00,0.00,0.00,34.00
17:00:37,all,53.06,0.00,14.18,0.00,0.00,32.76
17:00:38,all,56.12,0.00,8.16,0.00,0.00,35.71
17:00:39,all,59.44,0.00,8.16,0.00,0.00,32.40
17:00:40,all,56.77,0.00,9.64,0.00,0.00,33.59
17:00:41,all,53.11,0.00,10.88,0.00,0.00,36.01
17:00:42,all,51.29,0.00,11.86,0.00,0.00,36.86
17:00:43,all,55.38,0.00,8.66,0.00,0.00,35.96
17:00:44,all,56.42,0.00,8.56,0.00,0.00,35.01
17:00:45,all,49.87,0.00,12.08,0.00,0.00,38.05
17:00:46,all,53.44,0.00,9.16,0.00,0.00,37.40
17:00:47,all,56.46,0.00,8.18,0.00,0.00,35.36
17:00:48,all,52.11,0.00,11.32,0.00,0.00,36.58
17:00:49,all,54.52,0.00,10.08,0.00,0.00,35.40
17:00:50,all,54.00,0.00,11.00,0.00,0.00,35.00
17:00:51,all,63.45,0.00,9.90,0.00,0.00,26.65
17:00:52,all,56.48,0.00,10.36,0.00,0.00,33.16
17:00:53,all,56.17,0.00,10.83,0.00,0.00,33.00
17:00:54,all,53.49,0.00,15.25,0.00,0.00,31.27
17:00:55,all,59.37,0.00,9.76,0.00,0.00,30.87
17:00:56,all,55.44,0.00,7.59,0.00,0.00,36.96
17:00:57,all,54.82,0.00,9.64,0.00,0.00,35.53
17:00:58,all,58.60,0.00,12.72,0.00,0.00,28.68
17:00:59,all,58.29,0.00,12.56,0.00,0.00,29.15
17:01:00,all,54.26,0.00,11.68,0.00,0.00,34.06
17:01:01,all,49.87,0.00,12.85,0.00,0.00,37.28
17:01:02,all,54.91,0.00,9.32,0.00,0.00,35.77
17:01:03,all,53.25,0.00,10.00,0.00,0.00,36.75
17:01:04,all,51.27,0.00,12.69,0.00,0.00,36.04
Average:,all,53.89,0.00,10.83,0.00,0.00,35.29
