17:00:04,CPU,%user,%nice,%system,%iowait,%steal,%idle
17:00:05,3,67.00,0.00,13.00,0.00,0.00,20.00
17:00:06,3,67.01,0.00,9.28,0.00,0.00,23.71
17:00:07,3,56.00,0.00,14.00,0.00,0.00,30.00
17:00:08,3,57.43,0.00,4.95,0.00,0.00,37.62
17:00:09,3,50.00,0.00,8.33,0.00,0.00,41.67
17:00:10,3,73.47,0.00,2.04,0.00,0.00,24.49
17:00:11,3,74.51,0.00,7.84,0.00,0.00,17.65
17:00:12,3,54.64,0.00,10.31,0.00,0.00,35.05
17:00:13,3,72.92,0.00,7.29,0.00,0.00,19.79
17:00:14,3,71.57,0.00,5.88,0.00,0.00,22.55
17:00:15,3,70.71,0.00,10.10,0.00,0.00,19.19
17:00:16,3,67.01,0.00,9.28,0.00,0.00,23.71
17:00:17,3,42.72,0.00,16.50,0.00,0.00,40.78
17:00:18,3,36.08,0.00,14.43,0.00,0.00,49.48
17:00:19,3,34.02,0.00,7.22,0.00,0.00,58.76
17:00:20,3,43.16,0.00,3.16,0.00,0.00,53.68
17:00:21,3,37.76,0.00,10.20,0.00,0.00,52.04
17:00:22,3,43.01,0.00,11.83,0.00,0.00,45.16
17:00:23,3,51.46,0.00,6.80,0.00,0.00,41.75
17:00:24,3,42.71,0.00,7.29,0.00,0.00,50.00
17:00:25,3,42.11,0.00,7.37,0.00,0.00,50.53
17:00:26,3,47.37,0.00,9.47,0.00,0.00,43.16
17:00:27,3,41.58,0.00,9.90,0.00,0.00,48.51
17:00:28,3,48.96,0.00,15.62,0.00,0.00,35.42
17:00:29,3,41.24,0.00,12.37,0.00,0.00,46.39
17:00:30,3,41.58,0.00,12.87,0.00,0.00,45.54
17:00:31,3,60.40,0.00,10.89,0.00,0.00,28.71
17:00:32,3,60.00,0.00,4.21,0.00,0.00,35.79
17:00:33,3,73.27,0.00,1.98,0.00,0.00,24.75
17:00:34,3,72.45,0.00,7.14,0.00,0.00,20.41
17:00:35,3,60.20,0.00,8.16,0.00,0.00,31.63
17:00:36,3,54.00,0.00,10.00,0.00,0.00,36.00
17:00:37,3,42.57,0.00,18.81,0.00,0.00,38.61
17:00:38,3,81.63,0.00,1.02,0.00,0.00,17.35
17:00:39,3,54.74,0.00,4.21,0.00,0.00,41.05
17:00:40,3,37.76,0.00,16.33,0.00,0.00,45.92
17:00:41,3,57.00,0.00,8.00,0.00,0.00,35.00
17:00:42,3,41.49,0.00,12.77,0.00,0.00,45.74
17:00:43,3,37.62,0.00,11.88,0.00,0.00,50.50
17:00:44,3,50.00,0.00,3.12,0.00,0.00,46.88
17:00:45,3,44.68,0.00,4.26,0.00,0.00,51.06
17:00:46,3,44.79,0.00,11.46,0.00,0.00,43.75
17:00:47,3,51.06,0.00,10.64,0.00,0.00,38.30
17:00:48,3,46.81,0.00,12.77,0.00,0.00,40.43
17:00:49,3,70.83,0.00,8.33,0.00,0.00,20.83
17:00:50,3,53.06,0.00,8.16,0.00,0.00,38.78
17:00:51,3,52.53,0.00,11.11,0.00,0.00,36.36
17:00:52,3,65.38,0.00,9.62,0.00,0.00,25.00
17:00:53,3,44.57,0.00,13.04,0.00,0.00,42.39
17:00:54,3,45.05,0.00,13.19,0.00,0.00,41.76
17:00:55,3,63.16,0.00,6.32,0.00,0.00,30.53
17:00:56,3,60.42,0.00,8.33,0.00,0.00,31.25
17:00:57,3,59.80,0.00,12.75,0.00,0.00,27.45
17:00:58,3,52.88,0.00,13.46,0.00,0.00,33.65
17:00:59,3,70.59,0.00,7.84,0.00,0.00,21.57
17:01:00,3,60.00,0.00,7.62,0.00,0.00,32.38
17:01:01,3,56.60,0.00,12.26,0.00,0.00,31.13
17:01:02,3,39.58,0.00,14.58,0.00,0.00,45.83
17:01:03,3,71.00,0.00,5.00,0.00,0.00,24.00
17:01:04,3,54.46,0.00,9.90,0.00,0.00,35.64
Average:,3,54.56,0.00,9.45,0.00,0.00,35.99
