,total,used,free,shared,buff,available
Mem:,3826,407,1749,129,1669,3141
Mem:,3826,413,1744,129,1668,3136
Mem:,3826,414,1743,129,1668,3136
Mem:,3826,414,1743,129,1668,3135
Mem:,3826,414,1743,129,1668,3135
Mem:,3826,414,1743,129,1668,3135
Mem:,3826,415,1742,129,1668,3135
Mem:,3826,422,1728,135,1674,3121
Mem:,3826,422,1728,135,1675,3121
Mem:,3826,422,1727,136,1676,3119
Mem:,3826,423,1726,136,1676,3119
Mem:,3826,418,1731,137,1676,3123
Mem:,3826,416,1733,136,1676,3126
Mem:,3826,409,1740,137,1676,3132
Mem:,3826,413,1738,134,1674,3130
Mem:,3826,414,1737,134,1674,3130
Mem:,3826,414,1743,129,1668,3135
Mem:,3826,408,1749,128,1668,3142
Mem:,3826,408,1749,128,1668,3142
Mem:,3826,408,1749,128,1668,3141
Mem:,3826,408,1749,128,1668,3142
Mem:,3826,407,1749,130,1669,3142
Mem:,3826,407,1749,130,1669,3142
Mem:,3826,407,1749,130,1669,3141
Mem:,3826,408,1748,130,1669,3141
Mem:,3826,408,1748,130,1669,3141
Mem:,3826,408,1748,130,1669,3140
Mem:,3826,408,1748,130,1669,3141
Mem:,3826,409,1747,130,1669,3140
Mem:,3826,409,1747,130,1669,3140
Mem:,3826,409,1747,130,1669,3140
Mem:,3826,408,1748,130,1669,3140
Mem:,3826,408,1748,130,1669,3140
Mem:,3826,407,1750,129,1668,3142
Mem:,3826,407,1749,129,1668,3142
Mem:,3826,408,1749,129,1668,3141
Mem:,3826,408,1748,129,1668,3141
Mem:,3826,409,1748,129,1668,3140
Mem:,3826,409,1748,129,1668,3140
Mem:,3826,408,1748,129,1669,3140
Mem:,3826,409,1747,130,1669,3140
Mem:,3826,409,1747,130,1669,3140
Mem:,3826,409,1747,130,1669,3140
Mem:,3826,408,1748,130,1669,3141
Mem:,3826,408,1748,130,1669,3141
Mem:,3826,408,1747,130,1669,3140
Mem:,3826,409,1747,130,1669,3139
Mem:,3826,409,1746,130,1669,3139
Mem:,3826,409,1747,130,1669,3139
Mem:,3826,409,1747,130,1669,3139
Mem:,3826,409,1747,130,1669,3139
Mem:,3826,410,1746,130,1669,3138
Mem:,3826,409,1746,130,1669,3139
Mem:,3826,410,1746,130,1669,3138
Mem:,3826,410,1746,130,1669,3138
Mem:,3826,410,1746,130,1669,3138
Mem:,3826,410,1746,130,1669,3138
Mem:,3826,409,1746,130,1669,3139
Mem:,3826,410,1746,130,1669,3139
Mem:,3826,409,1746,130,1669,3139
