Tasks: 209 total,   2 running, 207 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   2 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   3 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   2 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   2 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   2 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   3 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   1 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   3 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   4 running, 215 sleeping,   0 stopped,   0 zombie
Tasks: 217 total,   3 running, 214 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   2 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   3 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   1 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   2 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   3 running, 215 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   1 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   1 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   1 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   1 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   3 running, 215 sleeping,   0 stopped,   0 zombie
Tasks: 217 total,   3 running, 214 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   3 running, 215 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   1 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   1 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   3 running, 215 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   4 running, 214 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   4 running, 214 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   1 running, 217 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   3 running, 215 sleeping,   0 stopped,   0 zombie
Tasks: 218 total,   2 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   4 running, 215 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   1 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   3 running, 216 sleeping,   0 stopped,   0 zombie
Tasks: 219 total,   1 running, 218 sleeping,   0 stopped,   0 zombie
Tasks: 184 total,   1 running, 183 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   1 running, 172 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   3 running, 170 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   2 running, 171 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   3 running, 170 sleeping,   0 stopped,   0 zombie
Tasks: 173 total,   3 running, 170 sleeping,   0 stopped,   0 zombie
