16:56:14,CPU,%user,%nice,%system,%iowait,%steal,%idle
16:56:15,all,69.77,0.25,23.93,0.00,0.00,6.05
16:56:16,all,70.78,0.00,19.65,0.00,0.00,9.57
16:56:17,all,76.09,0.26,15.94,0.00,0.00,7.71
16:56:18,all,73.37,0.00,19.10,0.00,0.00,7.54
16:56:19,all,71.25,0.00,19.75,0.00,0.00,9.00
16:56:20,all,72.32,0.00,18.70,0.00,0.00,8.98
16:56:21,all,67.59,0.00,20.00,0.00,0.00,12.41
16:56:22,all,68.00,0.00,19.50,0.00,0.00,12.50
16:56:23,all,69.82,0.00,19.69,0.00,0.00,10.49
16:56:24,all,74.75,0.00,15.75,0.00,0.00,9.50
16:56:25,all,71.43,0.00,16.54,0.00,0.00,12.03
16:56:26,all,67.50,0.25,23.00,0.00,0.00,9.25
16:56:27,all,64.99,0.00,23.93,0.00,0.00,11.08
16:56:28,all,62.79,0.00,22.48,0.00,0.00,14.73
16:56:29,all,73.18,0.25,19.80,0.00,0.00,6.77
16:56:30,all,71.14,0.00,17.97,0.00,0.00,10.89
16:56:31,all,74.31,0.00,14.86,0.00,0.00,10.83
16:56:32,all,68.92,0.00,19.05,0.00,0.00,12.03
16:56:33,all,68.56,0.00,21.39,0.00,0.00,10.05
16:56:34,all,67.67,0.00,22.06,0.00,0.00,10.28
16:56:35,all,68.83,0.26,19.22,0.00,0.00,11.69
16:56:36,all,70.10,0.00,17.09,0.00,0.00,12.81
16:56:37,all,71.21,0.25,18.43,0.00,0.00,10.10
16:56:38,all,72.66,0.00,17.47,0.00,0.00,9.87
16:56:39,all,69.27,0.25,18.14,0.00,0.00,12.34
16:56:40,all,72.11,0.00,19.10,0.00,0.00,8.79
16:56:41,all,70.25,0.00,20.00,0.00,0.00,9.75
16:56:42,all,65.25,0.75,27.50,0.00,0.00,6.50
16:56:43,all,66.41,0.25,23.16,0.00,0.00,10.18
16:56:44,all,74.63,0.00,14.68,0.00,0.00,10.70
16:56:45,all,72.43,0.25,17.54,0.00,0.00,9.77
16:56:46,all,73.86,0.00,14.72,0.00,0.00,11.42
16:56:47,all,71.43,0.00,16.84,0.00,0.00,11.73
16:56:48,all,72.36,0.00,15.83,0.00,0.00,11.81
16:56:49,all,69.73,0.00,16.38,0.00,0.00,13.90
16:56:50,all,74.74,0.00,15.05,0.00,0.00,10.20
16:56:51,all,74.31,0.00,16.12,0.00,0.00,9.57
16:56:52,all,70.28,0.00,17.88,0.00,0.00,11.84
16:56:53,all,71.64,0.00,17.41,0.00,0.00,10.95
16:56:54,all,71.25,0.00,16.00,0.00,0.00,12.75
16:56:55,all,75.00,0.00,13.28,0.00,0.00,11.72
16:56:56,all,69.39,0.00,19.39,0.00,0.00,11.22
16:56:57,all,63.64,0.00,23.83,0.00,0.00,12.53
16:56:58,all,69.58,0.00,17.21,0.00,0.00,13.22
16:56:59,all,71.11,0.00,17.09,0.00,0.00,11.81
16:57:00,all,68.50,0.00,14.25,0.00,0.00,17.25
16:57:01,all,74.05,0.00,15.01,0.00,0.00,10.94
16:57:02,all,75.25,0.25,14.25,0.00,0.00,10.25
16:57:03,all,73.28,0.00,16.79,0.00,0.00,9.92
16:57:04,all,71.43,0.25,18.30,0.00,0.00,10.03
16:57:05,all,74.63,1.00,11.94,0.00,0.00,12.44
16:57:06,all,73.28,0.00,14.22,0.00,0.00,12.50
16:57:07,all,72.77,0.25,16.28,0.00,0.00,10.69
16:57:08,all,75.44,0.00,14.79,0.00,0.00,9.77
16:57:09,all,74.12,0.00,15.83,0.00,0.00,10.05
16:57:10,all,69.95,0.00,18.69,0.00,0.00,11.36
16:57:11,all,68.25,0.00,18.75,0.00,0.00,13.00
16:57:12,all,62.50,0.00,26.75,0.00,0.00,10.75
16:57:13,all,72.86,0.25,17.34,0.00,0.00,9.55
16:57:14,all,69.11,0.25,22.28,0.00,0.00,8.35
Average:,all,70.85,0.09,18.30,0.00,0.00,10.76
