16:56:14,CPU,%user,%nice,%system,%iowait,%steal,%idle
16:56:15,2,78.57,0.00,16.33,0.00,0.00,5.10
16:56:16,2,69.31,0.00,16.83,0.00,0.00,13.86
16:56:17,2,74.23,1.03,14.43,0.00,0.00,10.31
16:56:18,2,65.00,0.00,22.00,0.00,0.00,13.00
16:56:19,2,71.29,0.00,16.83,0.00,0.00,11.88
16:56:20,2,72.45,0.00,11.22,0.00,0.00,16.33
16:56:21,2,58.82,0.00,23.53,0.00,0.00,17.65
16:56:22,2,61.00,0.00,20.00,0.00,0.00,19.00
16:56:23,2,69.79,0.00,17.71,0.00,0.00,12.50
16:56:24,2,72.00,0.00,17.00,0.00,0.00,11.00
16:56:25,2,54.90,0.00,27.45,0.00,0.00,17.65
16:56:26,2,52.48,0.00,29.70,0.00,0.00,17.82
16:56:27,2,60.61,0.00,26.26,0.00,0.00,13.13
16:56:28,2,71.43,0.00,13.27,0.00,0.00,15.31
16:56:29,2,61.86,1.03,22.68,0.00,0.00,14.43
16:56:30,2,68.37,0.00,15.31,0.00,0.00,16.33
16:56:31,2,65.35,0.00,17.82,0.00,0.00,16.83
16:56:32,2,75.73,0.00,10.68,0.00,0.00,13.59
16:56:33,2,81.05,0.00,11.58,0.00,0.00,7.37
16:56:34,2,70.10,0.00,17.53,0.00,0.00,12.37
16:56:35,2,64.95,0.00,18.56,0.00,0.00,16.49
16:56:36,2,77.23,0.00,11.88,0.00,0.00,10.89
16:56:37,2,84.00,0.00,12.00,0.00,0.00,4.00
16:56:38,2,80.39,0.00,13.73,0.00,0.00,5.88
16:56:39,2,59.79,0.00,27.84,0.00,0.00,12.37
16:56:40,2,69.39,0.00,18.37,0.00,0.00,12.24
16:56:41,2,77.78,0.00,10.10,0.00,0.00,12.12
16:56:42,2,82.00,2.00,10.00,0.00,0.00,6.00
16:56:43,2,74.26,0.00,16.83,0.00,0.00,8.91
16:56:44,2,77.67,0.00,14.56,0.00,0.00,7.77
16:56:45,2,69.61,0.00,17.65,0.00,0.00,12.75
16:56:46,2,80.39,0.00,9.80,0.00,0.00,9.80
16:56:47,2,69.39,0.00,17.35,0.00,0.00,13.27
16:56:48,2,68.37,0.00,13.27,0.00,0.00,18.37
16:56:49,2,71.72,0.00,20.20,0.00,0.00,8.08
16:56:50,2,80.00,0.00,12.00,0.00,0.00,8.00
16:56:51,2,71.88,0.00,14.58,0.00,0.00,13.54
16:56:52,2,68.63,0.00,15.69,0.00,0.00,15.69
16:56:53,2,66.67,0.00,22.86,0.00,0.00,10.48
16:56:54,2,77.23,0.00,11.88,0.00,0.00,10.89
16:56:55,2,87.88,0.00,4.04,0.00,0.00,8.08
16:56:56,2,81.19,0.00,11.88,0.00,0.00,6.93
16:56:57,2,76.77,0.00,10.10,0.00,0.00,13.13
16:56:58,2,72.00,0.00,14.00,0.00,0.00,14.00
16:56:59,2,79.59,0.00,12.24,0.00,0.00,8.16
16:57:00,2,72.63,0.00,11.58,0.00,0.00,15.79
16:57:01,2,81.63,0.00,12.24,0.00,0.00,6.12
16:57:02,2,77.08,0.00,9.38,0.00,0.00,13.54
16:57:03,2,72.28,0.00,18.81,0.00,0.00,8.91
16:57:04,2,64.65,0.00,23.23,0.00,0.00,12.12
16:57:05,2,78.22,0.00,8.91,0.00,0.00,12.87
16:57:06,2,74.00,0.00,17.00,0.00,0.00,9.00
16:57:07,2,80.81,0.00,7.07,0.00,0.00,12.12
16:57:08,2,83.84,0.00,6.06,0.00,0.00,10.10
16:57:09,2,82.18,0.00,8.91,0.00,0.00,8.91
16:57:10,2,74.00,0.00,16.00,0.00,0.00,10.00
16:57:11,2,65.66,0.00,22.22,0.00,0.00,12.12
16:57:12,2,61.29,0.00,21.51,0.00,0.00,17.20
16:57:13,2,65.69,0.00,28.43,0.00,0.00,5.88
16:57:14,2,72.73,0.00,18.18,0.00,0.00,9.09
Average:,2,72.17,0.07,16.00,0.00,0.00,11.77
