,total,used,free,shared,buff,available
Mem:,3826,431,1702,153,1692,3094
Mem:,3826,438,1694,154,1693,3086
Mem:,3826,438,1694,153,1692,3086
Mem:,3826,438,1694,153,1692,3087
Mem:,3826,437,1695,153,1693,3088
Mem:,3826,435,1698,153,1692,3091
Mem:,3826,436,1699,150,1690,3092
Mem:,3826,435,1700,150,1690,3093
Mem:,3826,435,1707,144,1683,3099
Mem:,3826,434,1700,151,1690,3093
Mem:,3826,433,1702,151,1690,3095
Mem:,3826,433,1702,151,1690,3095
Mem:,3826,433,1702,151,1690,3095
Mem:,3826,433,1702,151,1690,3095
Mem:,3826,432,1702,151,1691,3094
Mem:,3826,432,1701,152,1691,3094
Mem:,3826,433,1701,152,1691,3093
Mem:,3826,433,1701,152,1691,3094
Mem:,3826,433,1701,152,1691,3093
Mem:,3826,433,1701,152,1691,3093
Mem:,3826,433,1708,144,1683,3101
Mem:,3826,433,1709,144,1683,3101
Mem:,3826,434,1707,144,1683,3100
Mem:,3826,434,1708,144,1683,3101
Mem:,3826,434,1708,144,1683,3101
Mem:,3826,433,1702,151,1690,3095
Mem:,3826,433,1702,151,1690,3094
Mem:,3826,430,1704,152,1691,3096
Mem:,3826,429,1705,152,1691,3098
Mem:,3826,429,1705,152,1691,3098
Mem:,3826,429,1705,151,1691,3098
Mem:,3826,429,1705,151,1691,3098
Mem:,3826,429,1705,151,1690,3098
Mem:,3826,428,1705,152,1691,3098
Mem:,3826,429,1705,152,1691,3098
Mem:,3826,428,1706,152,1691,3098
Mem:,3826,429,1705,152,1691,3098
Mem:,3826,428,1706,152,1691,3098
Mem:,3826,429,1705,151,1691,3098
Mem:,3826,429,1705,151,1691,3098
Mem:,3826,428,1706,151,1691,3098
Mem:,3826,429,1713,143,1683,3106
Mem:,3826,429,1713,143,1683,3106
Mem:,3826,428,1714,143,1683,3106
Mem:,3826,428,1706,151,1691,3099
Mem:,3826,428,1706,151,1691,3098
Mem:,3826,428,1706,151,1691,3099
Mem:,3826,428,1706,151,1691,3098
Mem:,3826,428,1706,151,1691,3098
Mem:,3826,428,1706,151,1691,3098
Mem:,3826,428,1706,151,1691,3099
Mem:,3826,428,1706,151,1691,3099
Mem:,3826,428,1706,151,1691,3099
Mem:,3826,429,1705,151,1691,3098
Mem:,3826,429,1705,151,1691,3097
Mem:,3826,429,1705,151,1691,3097
Mem:,3826,428,1705,151,1691,3098
Mem:,3826,429,1713,143,1683,3105
Mem:,3826,428,1707,150,1690,3100
Mem:,3826,420,1715,150,1690,3108
